"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"548","SVM.bc","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"kernel: rbfdot C: 8"
"549","SVM.bc","3","0","0","0","1","1",NA,NA,NA,"kernel: rbfdot C: 8"
"550","SVM.bc","3","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.5"
"551","SVM.bc","4","0","1","0","0.888888888888889","NaN",NA,NA,NA,"kernel: vanilladot C: 0.25"
"552","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.5"
"553","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"554","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: rbfdot C: 4"
"555","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"556","SVM.bc","3","1","0","1","0.857142857142857","0.612372435695795",NA,NA,NA,"kernel: vanilladot C: 0.5"
"557","SVM.bc","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"558","SVM.bc","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"kernel: rbfdot C: 8"
"559","SVM.bc","3","0","1","0","0.857142857142857","NaN",NA,NA,NA,"kernel: vanilladot C: 0.25"
"560","SVM.bc","3","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 2"
"561","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"562","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: rbfdot C: 2"
"563","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"564","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"565","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"566","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"567","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"568","SVM.l2","3","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"569","SVM.l2","3","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"570","SVM.l2","3","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"571","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"572","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"573","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"574","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"575","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"576","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
"577","SVM.l2","4","0","0","0","1","1",NA,NA,NA,"kernel: vanilladot C: 0.25"
